City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
497,The Valley,AI,77.09,overcast clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
35,Mossamedes,AO,76.87,overcast clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
275,Soyo,AO,78.8,overcast clouds,-6.1349,12.3689,Hotel Mpampa
153,Carnarvon,AU,79.57,clear sky,-24.8667,113.6333,Hospitality Carnarvon
318,Yulara,AU,87.8,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
368,Healesville,AU,82.36,clear sky,-37.65,145.5167,Tuck Inn Yarra Valley Accommodation Healesville
379,Port Augusta,AU,88.7,scattered clouds,-32.5,137.7667,Majestic Oasis Apartments
390,Geraldton,AU,81.01,broken clouds,-28.7667,114.6,Broadwater Mariner Resort
395,Port Lincoln,AU,77.43,clear sky,-34.7333,135.8667,Port Lincoln Hotel
418,Hervey Bay,AU,76.01,broken clouds,-25.2986,152.8535,Shelly Bay Resort
460,Blackwater,AU,84.6,scattered clouds,-23.5833,148.8833,Blackwater Motor Inn
466,Mount Gambier,AU,77.72,few clouds,-37.8333,140.7667,The Commodore
495,Emerald,AU,84.34,scattered clouds,-23.5333,148.1667,The Irish Village
500,Forbes,AU,75.92,overcast clouds,-33.3833,148.0167,Lake Forbes Motel
553,Mareeba,AU,78.48,scattered clouds,-17,145.4333,Trinity Plains Tourist Park
620,Kununurra,AU,84.18,heavy intensity rain,-15.7667,128.7333,Hotel Kununurra
467,Bathsheba,BB,75.81,few clouds,13.2167,-59.5167,Atlantis Hotel
422,Porto-Novo,BJ,81.41,clear sky,6.4965,2.6036,Tour Eiffel Hotel Benin
104,Cabedelo,BR,78.4,broken clouds,-6.9811,-34.8339,Hotel Pigalle
120,Tutóia,BR,77.94,overcast clouds,-2.7619,-42.2744,Pousada Guará's
322,Itarema,BR,76.96,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
454,Arraial do Cabo,BR,75.15,scattered clouds,-22.9661,-42.0278,Pousada Porto Praia
499,Carutapera,BR,75.15,overcast clouds,-1.195,-46.02,Lidera
636,Trairi,BR,75.13,broken clouds,-3.2778,-39.2689,janelas do mar
641,Iguape,BR,76.06,overcast clouds,-24.7081,-47.5553,Hotel Pousada Nossa Senhora do Carmo
676,Acaraú,BR,77.41,overcast clouds,-2.8856,-40.12,castelo pizzaria
362,Kopong,BW,77.67,few clouds,-24.4833,25.8833,MsLo Kopong residency
307,Sassandra,CI,78.96,few clouds,4.95,-6.0833,la terrasse
28,Avarua,CK,78.85,broken clouds,-21.2078,-159.775,Paradise Inn
373,Melipilla,CL,76.41,clear sky,-33.7,-71.2167,Hotel Los Troncos
627,Port-Gentil,GA,79.57,few clouds,-0.7193,8.7815,Fengshui Residence
45,Cayenne,GF,80.1,overcast clouds,4.9333,-52.3333,Hôtel Le Dronmi
429,Sinnamary,GF,76.86,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
89,Takoradze,GH,81.16,overcast clouds,4.8845,-1.7554,Raybow International Hotel
648,Anloga,GH,81.59,clear sky,5.7947,0.8973,Pin Drop Hotel
616,Champerico,GT,80.35,broken clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
14,Tual,ID,83.93,light rain,-5.6667,132.75,Grand Vilia Hotel
111,Galesong,ID,87.82,scattered clouds,-5.3166,119.3661,Sapriadi Appy
124,Bontang,ID,82.85,overcast clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
177,Meulaboh,ID,85.82,broken clouds,4.1363,96.1285,Kost Pria
220,Sampit,ID,82.72,light rain,-2.5333,112.95,Aquarius Boutique Hotel Sampit
238,Loa Janan,ID,86.22,overcast clouds,-0.583,117.095,Kost bu jono
242,Waingapu,ID,86.61,scattered clouds,-9.6567,120.2641,Pondok Wisata Elim
266,Banda Aceh,ID,83.64,broken clouds,5.5577,95.3222,Sulthan Hotel International
305,Ambulu,ID,80.49,moderate rain,-8.345,113.6058,Hotel Ambulu Jember
306,Atambua,ID,81.84,few clouds,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
352,Bengkulu,ID,82.36,heavy intensity rain,-3.8004,102.2655,Grage Hotel Bengkulu
389,Sibolga,ID,81.97,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
391,Kroya,ID,86.86,heavy intensity rain,-7.6331,109.2461,RUSTANTO Fam
489,Labuhan,ID,82.74,overcast clouds,-6.8844,112.2051,DoubleFAG
576,Kupang,ID,83.52,light rain,-10.1667,123.5833,Hotel On The Rock by Prasanthi
603,Padang,ID,87.85,overcast clouds,-0.9492,100.3543,Mercure Padang
660,Lasem,ID,83.77,overcast clouds,-6.6922,111.4527,"Nyah Lasem | Museum, Warung & Community Center"
161,Sarkhej,IN,84.33,smoke,22.9833,72.5,Hotel Royal
248,Mumbai,IN,84.18,smoke,19.0144,72.8479,Hotel Avon Ruby-Dadar
456,Lingsugūr,IN,85.82,scattered clouds,16.1667,76.5167,Gundappa Sajjan
486,Birmitrapur,IN,75.52,scattered clouds,22.4,84.7667,Mr Raja Home
560,Kavaratti,IN,78.37,clear sky,10.5669,72.642,Hotels in Lakshadweep Islands
668,Port Blair,IN,86.04,few clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
370,Wajir,KE,85.55,overcast clouds,1.7471,40.0573,Al-bustan Hotel And Restaurant.
474,Kinango,KE,89.47,overcast clouds,-4.1372,39.3153,Legacy Hotel
582,Lamu,KE,88.02,overcast clouds,-2.2717,40.902,Lamu House
70,Butaritari,KI,82.42,light rain,3.0707,172.7902,Isles Sunset Lodge
343,Bairiki Village,KI,84.2,few clouds,1.3292,172.9752,Tarawa Boutique Hotel
526,Mitsamiouli,KM,82.85,light rain,-11.3847,43.2844,Foyer ADM
122,Hambantota,LK,89.94,few clouds,6.1241,81.1185,Bungalow 63
488,Kalmunai,LK,82.42,scattered clouds,7.4167,81.8167,VS Villa
88,Harper,LR,79.41,broken clouds,4.375,-7.7169,Screensaver
302,Monrovia,LR,76.77,light rain,6.3005,-10.7969,Sunset Inn
586,Ambilobe,MG,85.06,few clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
101,Souillac,MU,81.36,overcast clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
131,Quatre Cocos,MU,81.09,light rain,-20.2078,57.7625,Sunrise Attitude Hotel
207,Mahébourg,MU,81.25,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
253,Grand Gaube,MU,80.38,overcast clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
272,Bambous Virieux,MU,80.22,light rain,-20.3428,57.7575,Casa Tia Villa
329,Cap Malheureux,MU,80.47,overcast clouds,-19.9842,57.6142,Pereybere Hotel & Spa
33,Hithadhoo,MV,82.72,clear sky,-0.6,73.0833,Scoop Guest House
383,Malé,MV,81.77,broken clouds,4.1748,73.5089,Hotel Octave Maldives
409,Mahibadhoo,MV,81.9,broken clouds,3.7833,72.9667,Omadhoo Inn
654,Kulhudhuffushi,MV,80.89,scattered clouds,6.6221,73.07,Haajy Guest House 1
656,Kudahuvadhoo,MV,82.2,broken clouds,2.6708,72.8944,Niyama Private Islands Maldives
518,Playa del Carmen,MX,75.22,scattered clouds,20.6274,-87.0799,Hotel Kinbe
136,George Town,MY,89.89,thunderstorm,5.4112,100.3354,Cititel Penang
141,Kuah,MY,84.49,broken clouds,6.3265,99.8432,Azio Hotel
415,Keningau,MY,84.65,light rain,5.3378,116.1602,Sabindo Hotel
504,Lumut,MY,88.16,few clouds,4.2323,100.6298,"Marina Island Pangkor Resort & Hotel (Suites, Function Rooms and Convention Hall)"
609,Marabu,MY,86.14,light rain,4.4148,114.0089,"Mega Hotel, Miri"
0,Inhambane,MZ,75.18,drizzle,-23.865,35.3833,Oceano
178,Cuamba,MZ,77.13,light rain,-14.8031,36.5372,Hotel Vision
381,Manjacaze,MZ,85.53,scattered clouds,-24.7117,33.8828,Hotel Gani
514,Quelimane,MZ,85.95,scattered clouds,-17.8786,36.8883,Hotel Flamingo
542,Beira,MZ,78.89,broken clouds,-19.8436,34.8389,Beira Terrace Hotel
655,Montepuez,MZ,81,light rain,-13.1256,38.9997,PembaAparthotel
345,Wamba,NG,80.42,clear sky,8.9333,8.6,Roma Zee Guest House Annex
453,Kisi,NG,75.67,clear sky,9.0833,3.85,New NCCF KISI
517,Abakaliki,NG,80.08,broken clouds,6.3163,8.1169,Grande Vitesse Apartments and Hotels
205,Alofi,NU,79.57,moderate rain,-19.0595,-169.9187,Taloa Heights
147,Sur,OM,82.53,clear sky,22.5667,59.5289,Sur Plaza Hotel
231,Salalah,OM,83.62,overcast clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
283,Achutupo,PA,76.8,broken clouds,9.2,-77.9833,Akwa Reef Lodge
17,Atuona,PF,78.98,clear sky,-9.8,-139.0333,Villa Enata
50,Rikitea,PF,79.02,scattered clouds,-23.1203,-134.9692,People ThankYou
145,Tautira,PF,82.42,light rain,-17.7333,-149.15,Pension Oaoa
165,Moerai,PF,79.36,light rain,-22.4333,-151.3333,Le Manotel
229,Faanui,PF,81.46,scattered clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
631,Vaitape,PF,81.46,scattered clouds,-16.5167,-151.75,Conrad Bora Bora Nui
134,Vanimo,PG,82,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
258,Lorengau,PG,82.62,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
341,Samarai,PG,83.8,overcast clouds,-10.6167,150.6667,Nuli Sapi
445,Kavieng,PG,82.89,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
471,Kandrian,PG,84.85,overcast clouds,-6.2167,149.55,Kandrian Station
677,Namatanai,PG,82.26,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
85,Isabela,PH,84.7,broken clouds,6.7085,121.9711,Isawad Resort
159,Tandag,PH,79.72,scattered clouds,9.0783,126.1986,Mercedes Inn and Restaurant
280,Sulangan,PH,82.11,broken clouds,11.1373,123.7228,Maia's Beach Resort
323,Balabac,PH,81.23,overcast clouds,7.9868,117.0645,Batalla’s Lodging House
351,Guihing,PH,83.91,overcast clouds,6.6822,125.3473,YA NG Engbino Gila
407,Dingle,PH,82.71,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
487,Tagusao,PH,84.25,overcast clouds,9.1924,117.8141,Green Villa beach resort
614,Santa Rosa,PH,86.11,broken clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
632,Palauig,PH,83.21,scattered clouds,15.435,119.9045,Alperi Botique Resort
522,Kloulklubed,PW,82.9,scattered clouds,7.0419,134.2556,Storyboard Beach Resort
46,Saint-Philippe,RE,85.59,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
545,Saint-Joseph,RE,84.58,overcast clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
235,Makkah al Mukarramah,SA,75.72,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
30,Buala,SB,81.73,light rain,-8.145,159.5921,Maringe Lagoon Lodge
25,Eyl,SO,82.45,clear sky,7.9803,49.8164,Amiin Hotel
191,Oodweyne,SO,81.21,broken clouds,9.4092,45.064,Eng Hiirey House
354,Hobyo,SO,81.68,clear sky,5.3505,48.5268,Halane Hotel and Restaurent
593,Berbera,SO,78.3,light rain,10.4396,45.0143,IBCO REAL ESTATE PROPERTY
185,Cockburn Town,TC,75.67,clear sky,21.4612,-71.1419,Osprey Beach Hotel
539,Aného,TG,81.95,clear sky,6.2333,1.6,Hotel La Linette
10,Vaini,TO,77.36,heavy intensity rain,-21.2,-175.2,Keleti Beach Resort
513,Liuli,TZ,76.46,overcast clouds,-11.0833,34.6333,"Puulu Beach,Puulu Village"
685,Nanganga,TZ,84.99,broken clouds,-10.3833,39.15,Nanganga Station
496,Vung Tau,VN,82.2,broken clouds,10.346,107.0843,Green hotel
247,Isangel,VU,79.99,overcast clouds,-19.55,169.2667,Tanna Lodge
38,East London,ZA,76.77,light rain,-33.0153,27.9116,Tu Casa
44,Hermanus,ZA,86.9,overcast clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
67,Port Alfred,ZA,77.88,clear sky,-33.5906,26.891,The Halyards Hotel
71,Bredasdorp,ZA,83.28,overcast clouds,-34.5322,20.0403,Bredasdorp Country Manor
76,Port Elizabeth,ZA,83.1,clear sky,-33.918,25.5701,39 On Nile Guest House
77,Cape Town,ZA,86.11,overcast clouds,-33.9258,18.4232,Southern Sun Waterfront Cape Town
245,Richards Bay,ZA,77.58,light rain,-28.783,32.0377,BON Hotel Waterfront Richards Bay
580,Kruisfontein,ZA,81.88,clear sky,-34.0033,24.7314,Oyster Bay House Rental
