,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Inhambane,MZ,-23.865,35.3833,75.18,100,75,6.91,drizzle
1,Ushuaia,AR,-54.8,-68.3,41.47,91,100,4.34,overcast clouds
2,Grindavik,IS,63.8424,-22.4338,30.67,74,40,19.57,scattered clouds
3,Lüderitz,NA,-26.6481,15.1594,69.22,78,46,3.11,scattered clouds
4,Kashgar,CN,39.4547,75.9797,28.09,62,100,6.38,overcast clouds
5,Yellowknife,CA,62.456,-114.3525,-17.88,69,0,9.22,clear sky
6,Minsk,BY,53.9,27.5667,31.75,93,100,10.83,overcast clouds
7,Arlit,NE,18.7369,7.3853,65.43,15,0,10.11,clear sky
8,Taltal,CL,-25.4,-70.4833,65.39,84,18,1.28,few clouds
9,Puerto Ayora,EC,-0.7393,-90.3518,74.55,94,62,3.0,broken clouds
10,Vaini,TO,-21.2,-175.2,77.36,92,100,33.13,heavy intensity rain
11,Ribeira Grande,PT,38.5167,-28.7,57.6,82,20,13.8,few clouds
12,Punta Arenas,CL,-53.15,-70.9167,44.71,87,40,3.44,scattered clouds
13,Ancud,CL,-41.8697,-73.8203,53.42,92,34,3.13,scattered clouds
14,Tual,ID,-5.6667,132.75,83.93,71,100,6.35,light rain
15,Mataura,NZ,-46.1927,168.8643,51.48,70,1,3.29,clear sky
16,Jamestown,US,42.097,-79.2353,12.72,90,0,6.91,clear sky
17,Atuona,PF,-9.8,-139.0333,78.98,77,3,22.88,clear sky
18,Hope,US,33.6671,-93.5916,33.08,76,0,3.85,clear sky
19,Araripina,BR,-7.5761,-40.4983,70.56,71,68,4.34,broken clouds
20,Te Anau,NZ,-45.4167,167.7167,54.59,66,0,4.47,clear sky
21,Arman',RU,59.7,150.1667,5.02,76,40,10.18,scattered clouds
22,La Paz,BO,-16.5,-68.15,45.84,84,100,5.1,moderate rain
23,Yar-Sale,RU,66.8333,70.8333,-11.24,100,99,5.19,overcast clouds
24,Bukama,CD,-9.2,25.85,77.72,78,80,1.07,broken clouds
25,Eyl,SO,7.9803,49.8164,82.45,50,7,13.73,clear sky
26,Kapaa,US,22.0752,-159.319,69.19,77,8,9.37,clear sky
27,Vila Franca do Campo,PT,37.7167,-25.4333,60.19,86,97,17.16,overcast clouds
28,Avarua,CK,-21.2078,-159.775,78.85,78,75,8.05,broken clouds
29,Verkhoyansk,RU,67.5447,133.385,-40.83,100,92,0.92,overcast clouds
30,Buala,SB,-8.145,159.5921,81.73,83,51,7.96,light rain
31,Whitehorse,CA,60.7161,-135.0538,29.01,95,100,17.0,overcast clouds
32,Thompson,CA,55.7435,-97.8558,-23.71,99,100,2.64,overcast clouds
33,Hithadhoo,MV,-0.6,73.0833,82.72,72,9,10.92,clear sky
34,Alnashi,RU,56.1874,52.4792,24.76,94,97,4.14,overcast clouds
35,Mossamedes,AO,-15.1961,12.1522,76.87,53,90,6.4,overcast clouds
36,Harboøre,DK,56.6175,8.1807,38.21,76,99,21.41,overcast clouds
37,Madisonville,US,37.3281,-87.4989,21.81,83,5,3.29,clear sky
38,East London,ZA,-33.0153,27.9116,76.77,73,60,20.85,light rain
39,Hobart,AU,-42.8794,147.3294,69.26,60,20,1.99,few clouds
40,Saskylakh,RU,71.9167,114.0833,-26.01,100,98,2.01,overcast clouds
41,Hamilton,US,39.1834,-84.5333,16.93,90,7,2.59,clear sky
42,Tasiilaq,GL,65.6145,-37.6368,14.16,63,100,7.63,overcast clouds
43,Sitka,US,57.0531,-135.33,46.29,87,100,25.32,moderate rain
44,Hermanus,ZA,-34.4187,19.2345,86.9,54,96,2.51,overcast clouds
45,Cayenne,GF,4.9333,-52.3333,80.1,84,100,5.99,overcast clouds
46,Saint-Philippe,RE,-21.3585,55.7679,85.59,78,100,20.54,light rain
47,San Vicente,AR,-26.6167,-54.1333,60.8,96,91,3.09,overcast clouds
48,Katsuura,JP,35.1333,140.3,43.11,38,37,6.71,scattered clouds
49,Austintown,US,41.1017,-80.7645,16.18,83,0,6.91,clear sky
50,Rikitea,PF,-23.1203,-134.9692,79.02,71,33,17.43,scattered clouds
51,Albany,US,42.6001,-73.9662,7.27,77,6,2.93,clear sky
52,Barrow,US,71.2906,-156.7887,-18.38,69,75,6.91,haze
53,Byron Bay,AU,-28.65,153.6167,71.87,71,86,19.98,light rain
54,Izumo,JP,35.3667,132.7667,37.11,57,100,17.18,overcast clouds
55,Hanmer Springs,NZ,-42.5167,172.8167,48.45,97,100,2.28,overcast clouds
56,Władysławowo,PL,54.7909,18.4009,39.0,96,100,23.49,overcast clouds
57,Ponta do Sol,PT,32.6667,-17.1,65.12,53,41,14.0,scattered clouds
58,Atherton,GB,53.5237,-2.4935,45.72,86,100,21.0,light rain
59,Castro,BR,-24.7911,-50.0119,61.27,98,77,4.59,broken clouds
60,‘Āhuimanu,US,21.4447,-157.8378,74.46,77,20,1.01,few clouds
61,Tura,IN,25.5198,90.2201,66.97,46,0,4.54,clear sky
62,Huarmey,PE,-10.0681,-78.1522,69.73,86,100,6.91,overcast clouds
63,Shōbara,JP,34.85,133.0167,36.9,63,83,11.59,broken clouds
64,Walvis Bay,NA,-22.9575,14.5053,71.1,75,71,6.33,broken clouds
65,Bella Vista,US,36.4295,-94.2316,30.92,84,0,0.0,clear sky
66,Mae Hong Son,TH,19.3003,97.9685,91.74,24,24,7.67,few clouds
67,Port Alfred,ZA,-33.5906,26.891,77.88,71,9,26.71,clear sky
68,Usinsk,RU,65.9939,57.5281,-2.74,93,67,4.9,broken clouds
69,Burnie,AU,-41.0667,145.9167,70.95,52,0,6.51,clear sky
70,Butaritari,KI,3.0707,172.7902,82.42,76,99,16.2,light rain
71,Bredasdorp,ZA,-34.5322,20.0403,83.28,46,85,4.9,overcast clouds
72,Clyde River,CA,70.4692,-68.5914,-22.97,99,100,2.98,overcast clouds
73,Tuktoyaktuk,CA,69.4541,-133.0374,-19.32,99,100,9.84,overcast clouds
74,Jiangyou,CN,31.7667,104.7167,40.01,93,100,4.34,overcast clouds
75,Busselton,AU,-33.65,115.3333,64.74,85,100,24.32,overcast clouds
76,Port Elizabeth,ZA,-33.918,25.5701,83.1,61,0,14.79,clear sky
77,Cape Town,ZA,-33.9258,18.4232,86.11,48,98,7.85,overcast clouds
78,Pregradnaya,RU,43.9508,41.1994,34.75,50,100,3.76,light snow
79,Constitución,CL,-35.3333,-72.4167,61.25,67,0,4.88,clear sky
80,Khovd,MN,48.0056,91.6419,-3.82,86,8,3.69,clear sky
81,Iranshahr,IR,27.2025,60.6848,70.41,40,0,6.15,clear sky
82,Airai,TL,-8.9266,125.4092,69.93,79,80,2.44,broken clouds
83,Qaanaaq,GL,77.484,-69.3632,-3.17,98,100,4.38,overcast clouds
84,Fortuna Foothills,US,32.6578,-114.4119,44.69,18,11,5.79,few clouds
85,Isabela,PH,6.7085,121.9711,84.7,64,53,5.95,broken clouds
86,La Unión,PE,-5.4,-80.75,69.64,86,100,7.05,overcast clouds
87,Laguna,US,38.421,-121.4238,51.96,83,0,0.0,clear sky
88,Harper,LR,4.375,-7.7169,79.41,81,80,2.84,broken clouds
89,Takoradze,GH,4.8845,-1.7554,81.16,78,95,4.14,overcast clouds
90,Nikolskoye,RU,59.7035,30.7861,32.72,94,94,7.29,overcast clouds
91,Alpena,US,45.0617,-83.4327,20.1,76,100,1.99,overcast clouds
92,Kamina,CD,-8.7386,24.9906,74.19,72,97,3.49,light rain
93,Tonantins,BR,-2.8731,-67.8022,69.94,98,99,1.59,overcast clouds
94,Strenči,LV,57.6257,25.6854,34.41,97,100,12.12,overcast clouds
95,Nyagan,RU,62.1406,65.3936,10.85,91,30,5.97,scattered clouds
96,Melo,UY,-32.3667,-54.1833,60.08,92,0,10.38,clear sky
97,Thinadhoo,MV,0.5333,72.9333,82.67,70,2,11.23,clear sky
98,Xingcheng,CN,40.6167,120.7167,27.57,69,1,2.1,clear sky
99,Port Hawkesbury,CA,45.6169,-61.3485,16.59,86,100,17.27,haze
100,Tigil',RU,57.8,158.6667,8.1,87,100,4.79,overcast clouds
101,Souillac,MU,-20.5167,57.5167,81.36,70,100,16.04,overcast clouds
102,Cochrane,CA,51.1834,-114.4687,29.01,84,56,8.5,broken clouds
103,Kaitangata,NZ,-46.2817,169.8464,47.71,72,0,3.71,clear sky
104,Cabedelo,BR,-6.9811,-34.8339,78.4,70,53,8.19,broken clouds
105,Hong Kong,HK,22.2855,114.1577,67.96,74,97,3.0,overcast clouds
106,Cabo San Lucas,MX,22.8909,-109.9124,65.52,76,35,7.83,scattered clouds
107,Saint Paul Harbor,US,57.79,-152.4072,38.71,81,100,16.11,moderate rain
108,‘Ewa Beach,US,21.3156,-158.0072,74.98,71,21,10.0,few clouds
109,Talnakh,RU,69.4865,88.3972,-18.45,100,82,1.79,broken clouds
110,Hasaki,JP,35.7333,140.8333,41.4,34,99,14.99,overcast clouds
111,Galesong,ID,-5.3166,119.3661,87.82,72,38,10.92,scattered clouds
112,Provideniya,RU,64.3833,-173.3,-3.51,73,0,13.11,clear sky
113,College,US,64.8569,-147.8028,5.58,80,100,0.0,light snow
114,Haines Junction,CA,60.7522,-137.5108,27.77,97,100,3.4,snow
115,Chokurdakh,RU,70.6333,147.9167,-35.61,100,100,2.04,overcast clouds
116,Santa Cruz de la Sierra,BO,-17.8,-63.1667,68.41,95,100,6.38,overcast clouds
117,Kremnica,SK,48.7052,18.9183,33.85,91,100,1.99,overcast clouds
118,Lithgow,AU,-33.4833,150.15,59.09,87,73,9.1,broken clouds
119,Narsaq,GL,60.9167,-46.05,3.42,70,100,5.23,overcast clouds
