City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Fort Nelson,58.8053,-122.7002,-11.61,77,100,4.61,CA,2022-02-04 07:06:54
1,Port Alfred,-33.5906,26.891,71.8,64,100,13.91,ZA,2022-02-04 07:06:12
2,Chokurdakh,70.6333,147.9167,-29.49,100,14,0.85,RU,2022-02-04 07:06:55
3,Pangnirtung,66.1451,-65.7125,-13.9,100,100,4.59,CA,2022-02-04 07:06:55
4,Kaitangata,-46.2817,169.8464,48.6,94,100,5.48,NZ,2022-02-04 07:06:56
5,Ponta Do Sol,32.6667,-17.1,66.0,75,9,1.79,PT,2022-02-04 07:06:56
6,Vaini,-21.2,-175.2,78.96,89,75,6.91,TO,2022-02-04 07:06:57
7,Mataura,-46.1927,168.8643,54.48,99,100,1.68,NZ,2022-02-04 07:06:57
8,Talnakh,69.4865,88.3972,-11.58,98,65,7.45,RU,2022-02-04 07:06:58
9,Morant Bay,17.8815,-76.4093,76.62,83,6,8.03,JM,2022-02-04 07:06:58
10,Marzuq,14.4,46.4667,74.73,16,86,2.37,YE,2022-02-04 07:06:59
11,Thompson,55.7435,-97.8558,-22.77,93,13,6.8,CA,2022-02-04 07:06:59
12,Lebu,-37.6167,-73.65,59.9,91,83,14.34,CL,2022-02-04 07:07:00
13,San Cristobal,7.7669,-72.225,67.32,78,76,2.82,VE,2022-02-04 07:02:53
14,Rikitea,-23.1203,-134.9692,78.03,77,100,15.93,PF,2022-02-04 07:07:01
15,Doha,25.2867,51.5333,69.78,68,12,5.75,QA,2022-02-04 07:07:01
16,Esperance,-33.8667,121.9,78.91,51,5,20.36,AU,2022-02-04 07:07:02
17,Ahipara,-35.1667,173.1667,71.6,88,85,12.86,NZ,2022-02-04 07:07:02
18,Bandarbeyla,9.4942,50.8122,79.25,53,5,15.52,SO,2022-02-04 07:03:02
19,Cumana,10.4635,-64.1775,73.92,83,0,10.56,VE,2022-02-04 07:07:03
20,Liwale,-9.7667,37.9333,76.55,84,100,5.66,TZ,2022-02-04 07:07:04
21,Barrow,71.2906,-156.7887,-27.38,68,75,5.75,US,2022-02-04 07:04:15
22,Dutlwe,-23.9833,23.9,75.27,67,59,4.59,BW,2022-02-04 07:07:05
23,Yulara,-25.2406,130.9889,87.64,18,96,14.97,AU,2022-02-04 07:07:05
24,Kahului,20.8947,-156.47,73.85,77,0,0.0,US,2022-02-04 07:03:19
25,Hobart,-42.8794,147.3294,69.12,61,20,1.01,AU,2022-02-04 07:03:28
26,Butaritari,3.0707,172.7902,82.51,75,1,16.13,KI,2022-02-04 07:07:06
27,Ribeira Grande,38.5167,-28.7,58.06,79,100,16.84,PT,2022-02-04 07:04:14
28,Mayo,38.8876,-76.5119,61.2,93,75,14.97,US,2022-02-04 07:07:07
29,Punta Arenas,-53.15,-70.9167,41.11,70,75,11.5,CL,2022-02-04 07:07:07
30,Guerrero Negro,27.9769,-114.0611,54.14,35,0,6.51,MX,2022-02-04 07:07:08
31,Busselton,-33.65,115.3333,99.09,36,0,9.75,AU,2022-02-04 07:04:08
32,Northam,51.0333,-4.2167,43.02,93,100,18.66,GB,2022-02-04 07:07:08
33,Abha,18.2164,42.5053,62.85,39,0,16.11,SA,2022-02-04 07:07:09
34,Skowhegan,44.7651,-69.7192,28.24,96,100,10.69,US,2022-02-04 07:03:47
35,San Patricio,28.017,-97.5169,33.89,72,13,17.6,US,2022-02-04 07:07:10
36,Albany,42.6001,-73.9662,36.3,91,100,4.0,US,2022-02-04 07:07:10
37,Hermanus,-34.4187,19.2345,69.91,59,15,11.7,ZA,2022-02-04 07:07:11
38,Mahebourg,-20.4081,57.7,83.25,83,99,20.8,MU,2022-02-04 07:07:11
39,Nome,64.5011,-165.4064,7.16,56,0,26.46,US,2022-02-04 07:07:13
40,Goure,13.9835,10.2704,58.01,21,6,12.91,NE,2022-02-04 07:07:13
41,Ushuaia,-54.8,-68.3,33.39,90,15,2.82,AR,2022-02-04 07:05:44
42,Cabra,37.4725,-4.4421,49.89,61,100,2.98,ES,2022-02-04 07:07:14
43,Charala,6.2858,-73.1472,62.33,95,47,1.95,CO,2022-02-04 07:07:14
44,Srednekolymsk,67.45,153.6833,-33.41,100,66,1.95,RU,2022-02-04 07:07:15
45,Doka,13.5167,35.7667,79.56,16,21,17.6,SD,2022-02-04 07:07:15
46,Jamestown,42.097,-79.2353,19.29,67,100,7.0,US,2022-02-04 07:07:05
47,Cape Town,-33.9258,18.4232,70.12,54,3,5.01,ZA,2022-02-04 07:07:17
48,Puerto Ayora,-0.7393,-90.3518,74.55,94,7,4.27,EC,2022-02-04 07:08:16
49,Samarai,-10.6167,150.6667,84.49,72,91,5.28,PG,2022-02-04 07:08:16
50,Atuona,-9.8,-139.0333,78.75,70,1,20.13,PF,2022-02-04 07:08:17
51,Ghanzi,-21.5667,21.7833,75.2,65,61,6.13,BW,2022-02-04 07:08:18
52,Margate,51.3813,1.3862,49.96,77,100,8.01,GB,2022-02-04 07:08:18
53,Russell,32.3502,-85.1999,68.95,91,100,12.66,US,2022-02-04 07:08:19
54,Klaksvik,62.2266,-6.589,34.72,75,100,42.77,FO,2022-02-04 07:05:19
55,Potiskum,11.7091,11.0694,58.93,18,3,10.16,NG,2022-02-04 07:08:20
56,Hasaki,35.7333,140.8333,46.29,68,100,3.33,JP,2022-02-04 07:05:23
57,Ajdabiya,30.7554,20.2263,54.68,60,7,14.79,LY,2022-02-04 07:08:21
58,Fallon,39.4735,-118.7774,21.07,63,20,5.75,US,2022-02-04 07:08:21
59,Kota Kinabalu,5.9749,116.0724,87.78,62,20,9.22,MY,2022-02-04 07:08:22
60,Mount Isa,-20.7333,139.5,89.37,25,70,13.8,AU,2022-02-04 07:08:22
61,Hovd,48.0056,91.6419,0.3,82,14,3.67,MN,2022-02-04 07:08:23
62,Felanitx,39.4696,3.1483,48.45,85,11,3.85,ES,2022-02-04 07:08:23
63,Mporokoso,-9.3727,30.125,61.75,99,100,4.03,ZM,2022-02-04 07:08:24
64,Auki,-8.7676,160.7034,77.76,88,100,4.03,SB,2022-02-04 07:08:24
65,Longyearbyen,78.2186,15.6401,13.84,79,75,13.8,SJ,2022-02-04 07:08:25
66,Lubao,14.9167,120.55,90.14,42,55,11.77,PH,2022-02-04 07:08:25
67,Kencong,-8.2833,113.3667,84.78,70,100,9.31,ID,2022-02-04 07:08:26
68,Wencheng,33.0559,113.7978,48.92,42,5,11.3,CN,2022-02-04 07:08:26
69,Hilo,19.7297,-155.09,71.4,88,40,3.44,US,2022-02-04 07:08:27
70,Torbay,47.6666,-52.7314,40.39,92,100,20.71,CA,2022-02-04 07:05:32
71,Coquimbo,-29.9533,-71.3436,62.33,82,20,4.61,CL,2022-02-04 07:08:27
72,Aripuana,-9.1667,-60.6333,71.2,99,100,0.78,BR,2022-02-04 07:08:28
73,Lorengau,-2.0226,147.2712,83.28,64,100,8.32,PG,2022-02-04 07:08:28
74,Codrington,-38.2667,141.9667,65.28,68,53,16.98,AU,2022-02-04 07:08:29
75,Mar Del Plata,-38.0023,-57.5575,66.87,96,100,0.0,AR,2022-02-04 07:07:59
76,Bredasdorp,-34.5322,20.0403,65.28,49,100,7.85,ZA,2022-02-04 07:08:30
77,Mucurapo,10.6667,-61.5333,75.25,75,31,8.68,TT,2022-02-04 07:08:30
78,Okato,-39.2,173.8833,74.91,79,16,11.7,NZ,2022-02-04 07:08:31
79,Cidreira,-30.1811,-50.2056,74.53,90,100,10.74,BR,2022-02-04 07:08:31
80,Kapaa,22.0752,-159.319,66.52,59,40,4.61,US,2022-02-04 07:08:32
